Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-238060,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288082,,5913828,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:53','2016-10-21 21:05:53',Resuelto,,
161021-238061,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288083,,7504182,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:54','2016-10-21 21:05:54',Resuelto,,
161021-238062,,Incidente importado desde SAC,,Drive in Centro,Usuario Importador,Telemarketing,,,Solucionado,,,,,APL1 - AUTOMOTORES PLANES,288084,,5179507,Daños materiales drive In Centro,,,,'2021-04-28 13:20:00','2016-10-21 21:05:54','2016-10-21 21:05:54',Resuelto,,
161021-238063,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288085,,1327256,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:54','2016-10-21 21:05:54',Resuelto,,
161021-238065,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288087,,3376189,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:54','2016-10-21 21:05:54',Resuelto,,
161021-238066,,Incidente importado desde SAC,,Fleet Services,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288088,,4881788,Contacto del tercero,,,,'2021-04-28 13:20:00','2016-10-21 21:05:54','2016-10-21 21:05:54',Resuelto,,
161021-238068,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288090,,7332535,Endosos CAC,,,,'2021-04-28 13:20:00','2016-10-21 21:05:55','2016-10-21 21:05:55',Atendido,,
161021-238069,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288091,,6491903,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:55','2016-10-21 21:05:55',Resuelto,,
161021-238070,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288092,,779757,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:55','2016-10-21 21:05:55',Resuelto,,
161021-238072,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288094,,2483822,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 21:05:56','2016-10-21 21:05:56',Resuelto,,
161021-238074,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288096,,3545242,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:56','2016-10-21 21:05:56',Resuelto,,
161021-238075,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288097,,3497905,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:56','2016-10-21 21:05:56',Resuelto,,
161021-238076,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288098,,2583629,Rehabilitación de póliza sin Inspección,,,,'2021-04-28 13:20:00','2016-10-21 21:05:57','2016-10-21 21:05:57',Resuelto,,
161021-238079,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288101,,3164121,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:57','2016-10-21 21:05:57',Resuelto,,
161021-238080,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288102,,3159859,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 21:05:57','2016-10-21 21:05:57',Resuelto,,
161021-238081,,Incidente importado desde SAC,,Drive in Centro,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288103,,7327063,Daños materiales drive In Centro,,,,'2021-04-28 13:20:00','2016-10-21 21:05:57','2016-10-21 21:05:57',Resuelto,,
161021-238082,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,288104,,3280485,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 21:05:57','2016-10-21 21:05:57',Resuelto,,
161021-238084,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,ATD1 - ROBO/USUAR.T.DEB-CRE,288106,,554825,No califica,,,,'2021-04-28 13:20:00','2016-10-21 21:05:58','2016-10-21 21:05:58',Resuelto,,
